Stock,Probability_Up
BSE.NS,0.855
JUBLFOOD.NS,0.835
JUBLINGREA.NS,0.835
JWL.NS,0.835
JYOTHYLAB.NS,0.835
JYOTICNC.NS,0.835
KPRMILL.NS,0.835
KSB.NS,0.835
DABUR.NS,0.79
DALBHARAT.NS,0.79
DATAPATTNS.NS,0.79
DEEPAKFERT.NS,0.79
INDHOTEL.NS,0.79
IOC.NS,0.79
IGL.NS,0.79
INDIACEM.NS,0.785
INDIAMART.NS,0.785
INDIANB.NS,0.785
IEX.NS,0.785
BLUEJET.NS,0.78
LICHSGFIN.NS,0.77
LAURUSLABS.NS,0.77
GLAND.NS,0.765
HSCL.NS,0.765
HINDALCO.NS,0.765
GRASIM.NS,0.76
GRAVITA.NS,0.76
JUBLPHARMA.NS,0.76
KEI.NS,0.76
KPITTECH.NS,0.76
KAJARIACER.NS,0.76
KPIL.NS,0.76
KALYANKJIL.NS,0.76
KARURVYSYA.NS,0.76
KAYNES.NS,0.76
KEC.NS,0.76
KFINTECH.NS,0.76
KIRLOSBROS.NS,0.76
CAMPUS.NS,0.755
CANFINHOME.NS,0.755
CANBK.NS,0.755
CAPLIPOINT.NS,0.755
CGCL.NS,0.755
CARBORUNIV.NS,0.755
CASTROLIND.NS,0.755
CEATLTD.NS,0.755
CENTRALBK.NS,0.755
CDSL.NS,0.755
GODREJAGRO.NS,0.755
GODREJCP.NS,0.755
GODREJIND.NS,0.755
GODREJPROP.NS,0.755
GRANULES.NS,0.755
GRAPHITE.NS,0.755
ASTRAZEN.NS,0.75
ATHERENERG.NS,0.75
DCMSHRIRAM.NS,0.75
DLF.NS,0.75
DOMS.NS,0.75
JBMA.NS,0.75
AEGISVOPAK.NS,0.74
AFCONS.NS,0.74
AFFLE.NS,0.74
AJANTPHARM.NS,0.74
AKUMS.NS,0.74
AKZOINDIA.NS,0.74
APLLTD.NS,0.74
ALKEM.NS,0.74
ALKYLAMINE.NS,0.74
ALOKINDS.NS,0.74
ARE&M.NS,0.74
AMBER.NS,0.74
BANKINDIA.NS,0.74
BIKAJI.NS,0.74
HCLTECH.NS,0.74
IOB.NS,0.74
IRCTC.NS,0.74
IRFC.NS,0.74
IREDA.NS,0.74
BAJFINANCE.NS,0.735
BAJAJFINSV.NS,0.735
BAJAJHLDNG.NS,0.735
BAJAJHFL.NS,0.735
BALKRISIND.NS,0.735
BALRAMCHIN.NS,0.735
BANDHANBNK.NS,0.735
BANKBARODA.NS,0.735
MAHABANK.NS,0.735
BATAINDIA.NS,0.735
BAYERCROP.NS,0.735
HAL.NS,0.735
HINDCOPPER.NS,0.735
HINDPETRO.NS,0.735
HINDUNILVR.NS,0.735
HINDZINC.NS,0.735
POWERINDIA.NS,0.735
HOMEFIRST.NS,0.735
HONASA.NS,0.735
HONAUT.NS,0.735
HUDCO.NS,0.735
HYUNDAI.NS,0.735
ICICIBANK.NS,0.735
JPPOWER.NS,0.735
J&KBANK.NS,0.735
INDUSTOWER.NS,0.73
INDUSINDBK.NS,0.73
NAUKRI.NS,0.73
INFY.NS,0.73
INOXWIND.NS,0.73
INTELLECT.NS,0.73
INDIGO.NS,0.73
IGIL.NS,0.73
IKS.NS,0.73
IPCALAB.NS,0.73
JBCHEPHARM.NS,0.73
JKCEMENT.NS,0.73
CONCOR.NS,0.71
CUMMINSIND.NS,0.71
CYIENT.NS,0.71
CENTURYPLY.NS,0.705
CERA.NS,0.705
BLUESTARCO.NS,0.695
BBTC.NS,0.695
LTFOODS.NS,0.685
LTM.NS,0.685
LT.NS,0.685
LATENTVIEW.NS,0.685
ADANIENSOL.NS,0.675
ADANIENT.NS,0.675
ADANIGREEN.NS,0.675
ADANIPORTS.NS,0.675
ADANIPOWER.NS,0.675
ATGL.NS,0.675
CONCORDBIO.NS,0.665
CREDITACC.NS,0.665
GILLETTE.NS,0.665
MEDANTA.NS,0.64
GODIGIT.NS,0.64
ICICIGI.NS,0.635
ICICIPRULI.NS,0.635
IDBI.NS,0.635
IDFCFIRSTB.NS,0.635
IFCI.NS,0.635
IIFL.NS,0.635
INOXINDIA.NS,0.635
IRB.NS,0.635
IRCON.NS,0.635
ITCHOTELS.NS,0.635
ITC.NS,0.635
ITI.NS,0.635
ABBOTINDIA.NS,0.63
ACE.NS,0.63
CHALET.NS,0.625
CHAMBLFERT.NS,0.625
CHENNPETRO.NS,0.625
CHOICEIN.NS,0.625
CHOLAHLDNG.NS,0.625
CHOLAFIN.NS,0.625
CIPLA.NS,0.625
CUB.NS,0.625
CLEAN.NS,0.625
COALINDIA.NS,0.625
COCHINSHIP.NS,0.625
COFORGE.NS,0.625
GLAXO.NS,0.625
JKTYRE.NS,0.62
JMFINANCIL.NS,0.62
JSWCEMENT.NS,0.62
JSWENERGY.NS,0.62
JSWINFRA.NS,0.62
JSWSTEEL.NS,0.62
360ONE.NS,0.615
3MINDIA.NS,0.615
ABB.NS,0.615
ACC.NS,0.615
ACMESOLAR.NS,0.615
AIAENG.NS,0.615
APLAPOLLO.NS,0.615
AUBANK.NS,0.615
AWL.NS,0.615
AADHARHFC.NS,0.615
AARTIIND.NS,0.615
AAVAS.NS,0.615
FINPIPE.NS,0.615
FSL.NS,0.615
ASTRAL.NS,0.605
